,answer
0,"공모주는 상장 후 보유하셔도 되고, 매도하셔도 됩니다. "
1,공모가는 개인과 기관 둘 다 동일합니다. 
2,주식 계좌의 예수금은 현금으로 출금이 가능하고 주식 매수도 가능한 돈입니다.
3,"계좌 개설이 완료되었다면 그 이후 거래는 별다른 문제가 없을 것으로 보이며, 혹시라도 신분증 진위 확인이 되지 않았을 경우 주식 매매, 입출금 등의 제한이 있을 수 있으니, 신분증 진위 확인 완료 후 거래하시면 됩니다."
4,삼성 증권은 비대면 계좌 개설 20일 제한이 없습니다.
5," 증권 계좌가 개설되었다면 거래할 때 제한은 없습니다. 계좌 개설과 관련해서는 일시적으로 20영업일 제한을 풀어줄때도 있고, 증권사마다 20영업일 제한이 없는곳도 있습니다. 또한 카카오뱅크와 같은 은행과의 제휴를 통해 증권사 계좌를 개설하시면 20영업일 제한이 없을 수도 있습니다."
6,"주식 증거금의 경우에는 공모주 청약을 하게 되면서 자주 보여지는 것으로 공모주 청약을 진행하신다면 증거금 50%를 가지고 있어야 합니다. 예를 들어, 공모가가 2만 원이라면 최소 기준으로 보았을 때 50%인 만 원만 가지고 있으면 됩니다. 즉, 내가 가진 금액보다 더 많은 돈의 주식을 구매할 수 있는 것입니다. 주식 증거금은 매매 거래시에 약정 대금의 비율에 해당되는 금액을 예탁하는 것으로 볼 수 있습니다. 주식 예수금은 현금으로 출금이 가능하고 주식 매수도 가능한 돈입니다."
7,"공모주는 공모주를 주관하는 증권사의 계좌를 발급하시고, 해당 증권사에서 공모주 청약 신청 가능합니다."
8,"미래에셋대우 통장은 증권사 통장입니다. 주로 국내 및 해외 주식 거래, 공모주 청약 등의 투자를 하는 데 사용됩니다."
9,"공모주를 바로 사시려면, 오전 8시 40분에 상한가에 매수 주문을 걸어두시면 됩니다. 하지만 상한가를 가게 되면 물량이 잠길 수도 있으니, 안 사질 수도 있습니다."
10,미래에셋증권이 초보 투자자한테 적절한 증권사로 생각됩니다. 
11,"내일도 공모주 청약일이라면, 오늘 공모주 청약 후 취소하고, 내일 다시 청약하는 것이 가능합니다. 단, 안전하게 오후 3시 전에 하시는 것을 추천드립니다."
12,"공모주 청약은 2일동안 진행되는데, 보통 둘째 날에 더 많은 사람들이 합니다. 대부분 점심 이후에 청약 신청을 많이 합니다."
13,공모주 실시간 공모 가격은 본인이 신청한 증권사의 경쟁률을 클릭해서 확인하거나 인기종목의 경우 유튜브에서 그 종목경쟁률 검색하면 알 수 있습니다. 잘 참고만 하시고 본인이 넣으려는 후보군이2 3곳 이하면 약간의 시간차들이 있으니 직접 증권사 로그인 유지해서 경쟁률 새로고침하는것이 가장 정확합니다 공모주 일정이 궁금한거라면 네이버 증권이나 전문 공모주 사이트를 참고하세요
14,"출금 가능한 예수금으로만 공모주 청약 가능합니다. 예를 들어, 월요일에 매도 하신 금액으로 수요일에 청약 가능합니다."
15,우체국에서도 계좌 개설이 가능합니다 .
16,요즘에는 비대면으로 계좌 개설을 많이 합니다. 계좌 개설을 위해서는 신분증만 있으면 됩니다.
17,"청약이 되지 않은 금액은 자동으로 환불됩니다. 질문자님의 주식 계좌로 환불되니, 추후 확인하시면 됩니다."
18,"공모주 청약 취소는 공모주 청약 시간에만 가능합니다. 예를 들어, 오늘 오후 4시가 청약 마감이라면, 취소도 오후 4시에 종료 됩니다."
19,개인 종합 자산관리 계좌로는 일반적으로 청약이 불가합니다.
20,공모주 청약은 50% 증거금으로 신청이 가능합니다. 하지만 경쟁률에 따라서 1주도 못 받으실 수도 있습니다. 만약 2주 배당 받으시게 된다면 나머지 금액은 환불됩니다.
21,주식거래 가능 종합 계좌만 있으시면 공모주 신청 가능하십니다.
22,"공모주 청약 시, 돈을 증권 계좌로 이체하시면 바로 청약 자금으로 쓰실 수 있습니다. 2영업일을 기다려야 하는 건 주식 매도 후 출금 할 때만 그렇습니다."
23,"청약 자체는 주관사에서만 신청이 가능하고, 상장이 되면 모든 증권사에서 거래가 가능하십니다."
24,"공모주 청약은 주간사에서만 청약이 가능합니다. 예를 들어, 주간사에 키움증권이 없다면 키움증권에서 청약은 불가능합니다."
25,공모주 청약에서 1주를 배정받았는데 추가로 해당 주식을 더 사고 싶으시면 상장일에 장 오픈되면 바로 사실 수 있습니다. 일반 주식과 똑같이 매수 / 매도 가능하십니다. 하지만 상장일에는 변동성이 크기때문에 조심하셔야 합니다.
26,"공모주 청약할 때는 증거금만 있으면 되고, 청약되면 그때 채워 넣으시면 됩니다. "
27,공모주 청약은 기존 금액의 50%증거금으로 신청이 가능합니다.
28,청약을 하실 증권 주식 계좌에 돈을 넣어두시고 증거금 입금 하신 돈으로 청약하시면 됩니다. 청약 신청을 하고 그 이후에 돈을 넣는 것이 아닙니다. 계좌에 돈이 있는 상태에서 청약 신청을 해주셔야 합니다.
29,공모주 환불금은 바로 이체 가능하십니다.
30,종합위탁계좌로 입금하고 청약신청하시면 됩니다.
31,"아직 공모가가 확정 안 돼서 최소 얼마 넣어야 하는지는 말씀드리기가 어렵습니다. 다만, 본인이 청약하려는 공모 금액의 50%만 청약 증거금으로 본인 계좌에 들고 계시면 됩니다."
32,"청약 우대라는것은 일반 등급보다 더 많은 수량을 청약할 수 있다는 것 입니다. 예를 들어, 일반 등급이 최대 10주 청약이 가능하다고 하면 청약 우대의 경우는 최대 15주 청약이 가능하다고 보시면 됩니다."
33,공모주 일정은 여러 증권사 사이트에서 확인 가능하십니다.
34,"질문자님이 해당 기업의 전망에 대한 확신만 있으시다면, 상장 이후 매수하셔도 상관 없으십니다."
35,"실제 어떻게 가격이 형성 될지는 시장 상황에 따라 달라지겠지만, 사람들이 공모주 청약에 매달리는 이유는 상장일에 공모가보다 훨씬 높은 가격으로 주가가 형성될 것으로 기대되기 때문에 저렴한 가격에 배정받아서 비싼 가격에 팔아서 이익을 취하고자 해서 그렇습니다. 보통 2주 정도 배정 되셨다면 잘 배정된 겁니다. 상장일에 주가는 엄청난 요동을 치기 때문에 얼마에 파는지는 개인 몫입니다."
36,"공모주 신청은 일괄 신청하면 만약 모집하는 주수가 10,000주라면 5,000주는 균등배정으로, 5,000주는 비례배정으로 해서 증권사 경쟁률에 따라서 배정됩니다."
37,배정 방식이 비례와 균등 두 가지가 있는데 이 두가지는 동시에 적용되며 선택할 수 없습니다. 
38,공모주도 손해를 보는 경우가 있습니다. 반드시 수익을 거두는 것은 아닙니다.
39,"서로 다른 증권사에 동일한 공모주 청약 신청을 넣으셨다면 처음 신청한 증권사만 유효하고, 두 번째 신청은 자동 취소됩니다. "
40,"공모주 청약을 하는 순서는 청약 가능한 계좌 개설 -> 청약 증거금 입금 -> 공모주 청약의 순서인데, 당일 계좌 개설의 경우 청약이 불가능한 증권사가 있으므로, 이를 미리 잘 알아보신 후 가능한 증권사 계좌를 만들어 진행하시면 됩니다."
41,"공모주 청약 배정 및 입고 예정 문자를 받았는데, 배정 수량이 3주라고 되어있으시다면, 3주가 확정입니다."
42,"연금 저축 계좌로는 펀드와 매매만 가능합니다. 즉, 공모주에 청약하려면 주식 거래가 가능한 종합계좌가 있어야 합니다."
43,"상장일날 주가는 아무도 모릅니다. 모든 말들은 다 예상일 뿐, 무시하시면 됩니다."
44,"목표가들은 예상 가격인 것이지 확정가가 아닙니다. 전문가들의 예상은 항상 맞는 것이 아닙니다. 다만, 여러 전문가들의 의견이나 뉴스, 그리고 투자자들의 상황들을 보시고 매도 하시면 좋을 듯 합니다."
45,"증거금 만큼 청약을 하시고, 배정 받으신 공모주의 금액이 증거금을 초과한다면, 추가 납입 안내에 따라 계좌에 돈을 넣어주시면 정상적으로 공모주를 배정받게 됩니다."
46,이미 청약을 하신 상태에서 내일 추가로 청약을 같은 계좌로 더 넣는것은 불가능합니다. 기존 청약을 취소하시고 다시 청약을 해주셔야 합니다. 
47,"공모주 펀드는 공모주에만 투자를 하는 것이 아니라, 대부분을 채권 등 안전자산으로 운용하고, 일부 물량을 공모주 배정으로 운용합니다. 따라서, 생각보다 수익률이 높지 않을 수 있다는 점은 알아두시는 것이 좋습니다."
48,청약 시작일 하루 전까지 계좌를 개설해야합니다. 
49,공모주 청약을 신청하셨지만 공모주 배정이 안 되시면 넣었던 증거금은 환불일에 환불금으로 정상 입금됩니다.
50,공모주 상장 전에 입고 계좌를 변경하려면 본인 명의의 카드와 신분증이 있으시면 변경이 가능합니다. 상장 당일 타사 대체 출고도 가능하시니 참고하시기 바랍니다. 정확한 내용은 공모주 청약을 하신 증권사의 고객센터에 문의해주시기 바랍니다.
51,공모주 청약 경쟁률은 첫 날과 둘째 날을 합쳐서 나옵니다.
52,청약하시면 청약하신 금액에 따라 균등배정가 비례배정이 자동으로 됩니다. 
53,0주를 받게되면 청약 증거금 100% 환불이 됩니다. 수수료도 나가지 않습니다.
54,공모주 청약에서 배정을 받지 못하게 되면 전액 환불 받습니다.
55,주식은 각종 펀드 또는  등의 추종하는 지수에 편입되기 때문에 매수세는 반드시 존재합니다 파는 사람은 없고 사는 사람만 있으면 오르게 되어 있는거죠 
56,공모주 청약 후 상장일에 매도하시면 매도하신 금액은 영업일 기준 이틀 뒤부터 인출 가능하십니다.
57,공모주 청약하고 주식 거래를 하려면 주식 종합 계좌가 필요합니다. 모바일로 간편하게 증권사 어플로 개설 가능합니다.
58,공모주 시초가 형성시 60%~400% 범위내로 시가가 정해지게 됩니다.
59,공모주 청약 신청하시면서 환불 계좌 미신청 시 청약 계좌로 자동 환불됩니다. 이미 청약 기간이 지나서 지금 환불 계좌 등록은 어려워요.
60,공모주 청약 수수료는 증권사마다 다릅니다. 청약 신청 후 배정을 받지 못하면 수수료는 없습니다. 
61,"공모주 청약시 은행계좌에서 계속 이체 한도가 뜬다고 하면, 계좌에 하루 이체 한도가 정해져 있는 것 같습니다. 해당 문제를 해결하기 위해서는 은행 고객센터에 문의하셔야 할 것 같습니다. "
62,중복 청약은 불가능합니다.
63,균등배정 이상으로 더 많이 배정받고 싶으시다면 최대치로 청약하시면 됩니다.
